"Ryota","100"
"Akito","100"
"Ryota","180"
"Akito","20"
"Akito","200"
"Ryota","90"
"Akito","60"
"Ryota","70"
"Akito","10"
"Akito","0"
"Ryota","75"
"Ryota","200"
"Ryota","165"
"Akito","40"
"Ryota","95"
"Jess1P","340"
"MrCrystalBlue","1095"
"Mike007","970"



"tg","5"
"jgf","-5"
"","30"
"","0"
